,Open,High,Low,Close,Adj Close,Volume
2020-01-01,297.79124157155,307.75327401108467,291.9102624099977,299.909691674546,299.909691674546,40728051
2020-01-02,309.4906120307944,314.55587632570234,302.223415447061,308.34342784264527,308.34342784264527,35401824
2020-01-03,314.43554248038083,320.8215010477821,305.45039044527044,313.74083806833784,313.74083806833784,46957823
2020-01-06,308.58458476624406,315.4022002295052,301.63045498478465,309.27930461961705,309.27930461961705,40626074
2020-01-07,302.60834362614645,305.15226126515734,295.66137211401826,301.3778074193511,301.3778074193511,69493867
2020-01-08,292.2106686134207,299.88046858550507,285.266808871597,292.96203106458756,292.96203106458756,61137102
2020-01-09,288.87638068122004,297.490248697176,281.54312497381613,289.5772748163967,289.5772748163967,43545674
2020-01-10,295.45817443091875,300.80392160086194,289.95927517265756,294.6425421992549,294.6425421992549,24510564
2020-01-13,292.0433714685397,295.9674812499053,283.88640752870964,291.3698856637222,291.3698856637222,85634535
2020-01-14,292.68061699816025,300.2165755377936,288.6928447219555,295.6368081094529,295.6368081094529,47780335
2020-01-15,303.1619162954963,305.6845589637847,292.9538845244953,300.8469450180201,300.8469450180201,47614274
2020-01-16,302.1585376175871,306.4550029474272,291.15792864980597,299.196093436834,299.196093436834,65586451
2020-01-17,300.03307563313075,310.04433529102323,295.99037947916383,301.6418717591458,301.6418717591458,24204302
2020-01-20,310.0910112578826,315.3881280158374,302.4440392871762,307.5243769096166,307.5243769096166,22726114
2020-01-21,316.9096483593454,324.6241925708287,309.4330047967567,317.17274646398255,317.17274646398255,35947755
2020-01-22,306.37863881159643,314.63977925014837,300.77118857454906,306.9184662022344,306.9184662022344,64166781
2020-01-23,306.1171121659817,312.1773153818924,304.358542176859,308.4378629129616,308.4378629129616,62656332
2020-01-24,315.87384993984796,323.1135783726803,310.43246017383944,316.89281336572657,316.89281336572657,76662344
2020-01-27,313.01848160266826,319.5033826119442,308.86655566384957,315.9854511188034,315.9854511188034,62925713
2020-01-28,315.27653665940755,318.24202849383886,306.1562815812767,313.0772691175829,313.0772691175829,48893168
2020-01-29,313.47807020940417,320.8064231691731,312.96068384661186,316.52497216827743,316.52497216827743,89162585
2020-01-30,318.64907548798556,325.8506964941825,312.05555908444205,321.38218744633787,321.38218744633787,27470315
2020-01-31,328.4425127292141,333.73732972120195,317.25308392019576,325.62935969634015,325.62935969634015,46402790
2020-02-03,327.83640625079613,332.93529726882053,324.55665107160183,329.6205933382153,329.6205933382153,11357150
2020-02-04,332.2050608295643,336.27366946920665,327.1998783208619,332.0799913512041,332.0799913512041,45728075
2020-02-05,332.00590410831035,341.76578345489384,329.44160059664694,332.9632505341779,332.9632505341779,45997077
2020-02-06,335.4791085405136,338.1727899378368,327.95059073035713,334.2436342782371,334.2436342782371,28740431
2020-02-07,331.12470812494786,335.9233488496172,320.85762113214554,328.9873737968611,328.9873737968611,55439576
2020-02-10,326.9699560006496,335.7576156266854,322.5074459043912,328.66485496368693,328.66485496368693,51274332
2020-02-11,330.67136705699113,337.2481002170254,318.0982055526464,327.84924702803875,327.84924702803875,30595408
2020-02-12,319.1236842774285,330.04953179955686,312.18093429975755,321.29821441426583,321.29821441426583,50361884
2020-02-13,327.5790588962032,336.1876722758059,321.747456152768,330.0695221158154,330.0695221158154,20362089
2020-02-14,331.20941693584376,334.8959980474752,326.29298487052347,330.9147685950978,330.9147685950978,52928379
2020-02-17,337.9682046260408,342.8032939666377,332.7482882344556,336.3051901532716,336.3051901532716,39857889
2020-02-18,340.0504864352833,346.75441065009005,338.26886475331065,342.71804140875685,342.71804140875685,48914640
2020-02-19,334.18187591405757,341.5404079626231,324.4050836283067,333.3154856976216,333.3154856976216,33205166
2020-02-20,333.8940472520282,340.56797145965925,327.16038941525017,331.4954085145206,331.4954085145206,67300391
2020-02-21,331.8563778570949,335.4102928489531,324.52279549448525,330.0138374295651,330.0138374295651,41322595
2020-02-24,332.4135311470926,335.13050581642136,326.8748876523649,330.2812028138169,330.2812028138169,46508908
2020-02-25,318.49213938954625,328.842490160638,314.8329658415986,320.44385684368217,320.44385684368217,51065284
2020-02-26,305.1736508454087,311.3999507416687,301.6213917868814,305.8823897271648,305.8823897271648,35182434
2020-02-27,308.2025050247705,311.51878637300496,299.06534912480794,308.1664492204571,308.1664492204571,39150217
2020-02-28,301.4985428132366,309.47692598699297,296.9676660184905,304.1527080846199,304.1527080846199,51730586
2020-03-02,312.08766241058544,317.5776082209853,302.6377092813991,309.7779901860965,309.7779901860965,30965925
2020-03-03,307.09771791663024,313.7192409768007,303.04814606200466,306.79209255514894,306.79209255514894,41517313
2020-03-04,311.79747702937044,317.5960789075652,304.2990873303627,309.4158814206323,309.4158814206323,62069228
