,Open,High,Low,Close,Adj Close,Volume
2020-01-01,315.1327322732789,316.9306226578529,308.0197728996468,314.2783085822062,314.2783085822062,67980311
2020-01-02,323.47711025914725,327.7712149611502,321.00457954161226,322.95362751629267,322.95362751629267,27657714
2020-01-03,312.7180703321816,315.80424952734563,311.52194518352474,313.2792117762161,313.2792117762161,66011576
2020-01-04,319.1255288779822,322.23681113625855,308.4028775599912,317.30955587944516,317.30955587944516,97745159
2020-01-05,335.18191831331654,340.3760207913203,331.022048611764,333.1970420679127,333.1970420679127,28067867
2020-01-06,322.6863689809903,329.35187998363267,322.30502871650515,324.34996006582594,324.34996006582594,83738398
2020-01-07,318.05422779661853,320.1683110848786,311.1807741687703,317.9061286896337,317.9061286896337,60611769
2020-01-08,304.5636497263411,310.60077705817343,304.1461279349753,306.0687206349789,306.0687206349789,33731653
2020-01-09,310.2135354209526,321.5546429042983,308.64662529292525,311.90612872149853,311.90612872149853,81259597
2020-01-10,316.9504067772664,320.6491841873892,316.1381110198923,318.3941652333108,318.3941652333108,40800084
2020-01-11,314.65694204840054,319.7210437377342,311.3718710039252,314.42322400255034,314.42322400255034,51728649
2020-01-12,314.9764309603118,318.19834705392566,312.45697621565466,316.19869489526025,316.19869489526025,91170783
2020-01-13,319.8855172640952,326.4621431932202,315.1359032951073,319.1897340768103,319.1897340768103,76782608
2020-01-14,323.12225715970027,327.65656002005966,321.41280087890357,324.1088167113174,324.1088167113174,49797200
2020-01-15,325.6821664398442,330.4485382512428,320.2284399680232,325.9473483973748,325.9473483973748,90166437
2020-01-16,332.9319239055686,335.88007950274994,325.4547370937002,331.79277142381574,331.79277142381574,75492914
2020-01-17,343.90605011983826,345.812719863748,336.4464308219318,343.94948425178916,343.94948425178916,88193931
2020-01-18,337.52139266003104,339.4467135131674,334.96880354453174,337.34176944650017,337.34176944650017,89492090
2020-01-19,333.5222780013145,339.2211813635587,331.5619860994219,336.7705248549635,336.7705248549635,29545772
2020-01-20,333.29569918737246,342.5527113433556,332.9046870802724,335.6198384843556,335.6198384843556,99676447
2020-01-21,334.0125870331203,335.6402595515101,330.0550943862191,332.8731158321224,332.8731158321224,57763203
