,Open,High,Low,Close,Adj Close,Volume
2020-01-01,391.634344787374,395.93562628438195,388.35243191897274,390.6330305689193,390.6330305689193,23717400
2020-01-02,377.53597357013973,382.3874742658349,375.3714563087831,379.39688488187716,379.39688488187716,74194684
2020-01-03,374.96795452739815,381.3608310059779,369.11295484132853,374.78547634659213,374.78547634659213,48935302
2020-01-04,372.7251890308968,380.0030187143659,369.01393776604186,372.9695662227216,372.9695662227216,89438677
2020-01-05,380.46458069355197,384.35350119548747,377.50286037105053,380.0038687299827,380.0038687299827,28480731
2020-01-06,385.0155064534255,393.8406867777313,372.97734416974,386.12510501625616,386.12510501625616,76255306
2020-01-07,387.19238598878025,396.17710279159104,376.17766111239183,389.0605184039957,389.0605184039957,94867874
2020-01-08,388.04075455549633,390.07939136171393,382.9234165945607,386.8385092809233,386.8385092809233,31302911
2020-01-09,388.04301355813163,393.8461014373022,384.09832603015326,387.17001396095935,387.17001396095935,29847300
2020-01-10,400.1392912949176,402.69332882690077,390.5266822746391,399.7627044805427,399.7627044805427,99605822
2020-01-11,405.880036188501,410.47798330372444,392.8933993870775,405.3059977969413,405.3059977969413,22905962
2020-01-12,400.6532249652829,407.5356539160435,399.28071168102247,402.71480920612356,402.71480920612356,71922386
2020-01-13,406.98109099917946,410.1635579491533,398.5237089292678,404.9745105861073,404.9745105861073,33890143
2020-01-14,421.5541951441551,424.1875488866252,416.55029367390745,421.0927907615512,421.0927907615512,57725925
2020-01-15,420.2376417925748,426.94669424441463,410.498826221281,419.62065595765,419.62065595765,57947580
2020-01-16,412.0955860449774,415.36185924949666,410.4782901283316,412.70206227715585,412.70206227715585,53094785
2020-01-17,408.11625093178645,419.0482442334502,403.4075832574911,406.6347966679336,406.6347966679336,53881410
2020-01-18,413.36724107667874,420.3675418113804,409.3850511393315,414.6105851855076,414.6105851855076,48236438
2020-01-19,404.32873540669016,411.7713235551941,401.39816920975767,406.884329564558,406.884329564558,70313531
2020-01-20,400.8427892970411,403.8440576355796,396.8840285824407,398.97200909576134,398.97200909576134,39736290
2020-01-21,395.11327951873443,399.14036788070393,386.9942528392288,394.2491254303737,394.2491254303737,55561461
2020-01-22,385.35838776133306,386.47785502957163,381.9655532946761,384.3416870554086,384.3416870554086,93795882
2020-01-23,373.8067100550544,378.52811973532386,365.6423687774611,370.855151296222,370.855151296222,38576260
2020-01-24,367.7115821553407,370.98686309455616,362.0635041196578,368.6562613119106,368.6562613119106,59209426
2020-01-25,363.60753128854805,365.31279457549215,361.25925506918117,363.1764001662494,363.1764001662494,25687539
2020-01-26,361.03623188793676,368.904069018037,350.70066081007303,360.88263221798877,360.88263221798877,60105653
2020-01-27,352.3220976195618,356.7935118420647,350.22634544666454,352.95822387885835,352.95822387885835,28879582
2020-01-28,351.6057895514532,359.8566222181423,348.3367648645031,353.34248998589635,353.34248998589635,70945684
2020-01-29,340.93748127938386,344.55685509974467,336.55425986302095,340.94897706699464,340.94897706699464,91702062
2020-01-30,337.96195599877944,339.933765053463,334.5821218990784,336.84042622989216,336.84042622989216,93189965
2020-01-31,339.2020574893978,341.88497796075035,334.48963691708263,338.16257742641847,338.16257742641847,37744575
2020-02-01,344.1523943953928,345.86755900484496,339.8059910454813,342.6840384228884,342.6840384228884,88240244
2020-02-02,339.4590709477046,346.9081382944575,336.48008757349487,340.5138110925737,340.5138110925737,84036158
2020-02-03,349.503255302594,351.40848425603457,339.29321879446167,347.97127367545755,347.97127367545755,57663950
2020-02-04,336.0035292836089,338.30118956460956,331.8519183500355,335.4997436536365,335.4997436536365,82493272
